"wave","response"
2060.0,0.0014
2060.5,0.0015
2061.0,0.0017
2061.5,0.0019
2062.0,0.0021
2062.5,0.0023
2063.0,0.0026
2063.5,0.0029
2064.0,0.0032
2064.5,0.0036
2065.0,0.0041
2065.5,0.0046
2066.0,0.0052
2066.5,0.0058
2067.0,0.0066
2067.5,0.0075
2068.0,0.0086
2068.5,0.0098
2069.0,0.0112
2069.5,0.0129
2070.0,0.0149
2070.5,0.0171
2071.0,0.0198
2071.5,0.023
2072.0,0.0268
2072.5,0.0313
2073.0,0.0367
2073.5,0.0432
2074.0,0.051
2074.5,0.0603
2075.0,0.0718
2075.5,0.0857
2076.0,0.1028
2076.5,0.1238
2077.0,0.1499
2077.5,0.1825
2078.0,0.2233
2078.5,0.2749
2079.0,0.3404
2079.5,0.4244
2080.0,0.5327
2080.5,0.6736
2081.0,0.8585
2081.5,1.1032
2082.0,1.4298
2082.5,1.8692
2083.0,2.4648
2083.5,3.2756
2084.0,4.3839
2084.5,5.8986
2085.0,7.9481
2085.5,10.6668
2086.0,14.1673
2086.5,18.4865
2087.0,23.5477
2087.5,29.1737
2088.0,35.1363
2088.5,41.2118
2089.0,47.2281
2089.5,53.0541
2090.0,58.5616
2090.5,63.6311
2091.0,68.1354
2091.5,71.9519
2092.0,74.9774
2092.5,77.1714
2093.0,78.6068
2093.5,79.451
2094.0,79.8718
2094.5,80.0446
2095.0,80.0907
2095.5,80.0782
2096.0,80.0561
2096.5,80.0589
2097.0,80.0702
2097.5,80.0681
2098.0,80.0667
2098.5,80.09
2099.0,80.1072
2099.5,80.1171
2100.0,80.1195
2100.5,80.113
2101.0,80.0998
2101.5,80.0931
2102.0,80.075
2102.5,80.0068
2103.0,79.8931
2103.5,79.7121
2104.0,79.3635
2104.5,78.7344
2105.0,77.6653
2105.5,75.9842
2106.0,73.5633
2106.5,70.3503
2107.0,66.3861
2107.5,61.7685
2108.0,56.647
2108.5,51.1657
2109.0,45.4471
2109.5,39.6145
2110.0,33.8049
2110.5,28.1696
2111.0,22.8834
2111.5,18.1167
2112.0,14.0122
2112.5,10.6372
2113.0,7.9735
2113.5,5.9359
2114.0,4.4144
2114.5,3.2933
2115.0,2.4711
2115.5,1.8683
2116.0,1.4243
2116.5,1.0949
2117.0,0.8491
2117.5,0.6642
2118.0,0.5239
2118.5,0.4164
2119.0,0.3335
2119.5,0.269
2120.0,0.2185
2120.5,0.1786
2121.0,0.1468
2121.5,0.1215
2122.0,0.101
2122.5,0.0845
2123.0,0.071
2123.5,0.0599
2124.0,0.0508
2124.5,0.0433
2125.0,0.037
2125.5,0.0318
2126.0,0.0274
2126.5,0.0237
2127.0,0.0205
2127.5,0.0179
2128.0,0.0156
2128.5,0.0137
2129.0,0.012
2129.5,0.0106
2130.0,0.0093
2130.5,0.0083
2131.0,0.0073
2131.5,0.0065
2132.0,0.0058
2132.5,0.0052
2133.0,0.0047
2133.5,0.0042
2134.0,0.0038
2134.5,0.0034
2135.0,0.0031
2135.5,0.0028
2136.0,0.0025
2136.5,0.0023
2137.0,0.0021
2137.5,0.0019
2138.0,0.0017
2138.5,0.0016
2139.0,0.0014
2139.5,0.0013
2140.01,0.0012
